"id","generated_procedure_name","generated_procedure_description","procedure_name"
0,"Deep Brain Mapping with 16-Electrode SEEG Implantation: A Precision Procedure for Recording Neural Activity with High Accuracy and Minimal Discomfort.","The medical procedure is electrode depth SEEG (stereoelectroencephalography) with 16 contacts at a recording depth of 54.5mm and a drill diameter of 2.4mm. This procedure involves placing electrodes deep within the brain to monitor and map electrical activity in the brain, often used for epilepsy patients.","electrode depth seeg 16 contact 54.5mm recording 2.4mm drill"
1,"Collecting an Extravascular Sample using a Peripheral Venous Catheter (PVC) or Peripherally Inserted Central Catheter (PICC) over a 10-foot Length.","Collecting an Extravascular Sample using a Peripheral Venous Catheter (PVC) or Peripherally Inserted Central Catheter (PICC) over a 10-foot Length.","line pvc/pe sample 10ft"
2,"Selective Arterial Exploration of Abdomen, Pelvis, and Lower Extremities with Priority given to the First, Followed by Each Additional","Selective Arterial Exploration of Abdomen, Pelvis, and Lower Extremities with Priority given to the First, Followed by Each Additional","select art abd/pel/lwr 1st ea addl"
3,"Single-Image-Guided Vertebra Selection with Additional Units / Spinal Vertebrae Targeting with Unified Imaging and Extra Components","Single-Image-Guided Vertebra Selection with Additional Units / Spinal Vertebrae Targeting with Unified Imaging and Extra Components","select vert place/img uni* ea addl"
4,"Enhanced Toric Lens Implant with Simplified 18.0 Diopter Correction and 4.50 Cylinder and Diameter of 450 microns and 180 degrees.","Enhanced Toric Lens Implant with Simplified 18.0 Diopter Correction and 4.50 Cylinder and Diameter of 450 microns and 180 degrees.","lens tec eyhance tor ii smplct 18.0d cyl4.50 diu450u180"
5,"MRI-guided hip bone biopsy with an 11.5mm trephine needle and 8-inch internal diameter, performed without the use of steroids.","MRI-guided hip bone biopsy with an 11.5mm trephine needle and 8-inch internal diameter, performed without the use of steroids.","hip trephine 11.5mm 8in id mri non ster"
6,"Injecting contrast with image guidance at each level of the cervical and thoracic spine to target the transforaminal region.","Injecting contrast with image guidance at each level of the cervical and thoracic spine to target the transforaminal region.","inject transforam w/img ea add c/t*"
7,"Blue Braided Suture Tape with a 1.4mm diameter and 40mm x 40in length, tapered to 1/2c, for use in surgical procedures.","This is a description of a surgical suture thread called suture 1.4mm xbraid tt ct taper 1/2c 40mmx40in tape blu. It is a blue-colored tape made of a braided material that is 1.4 millimeters thick, with a tapered needle and half-circle shape. The thread is 40 millimeters long and 40 inches wide. It is used for suturing wounds or incisions during a surgical procedure.","suture 1.4mm xbraid tt ct taper 1/2c 40mmx40in tape blu"
8,"Endovascular Repair of Descending Thoracic Aortic/Subclavian Artery Aneurysm and Stenosis with Stent and Interventions","No Description","endovas repair decnd ta/lt subvn s&i"
9,"Platinum electrode implantation for deep brain stimulation with 4 contacts at a depth of 17mm, customized for patient.","Platinum electrode implantation for deep brain stimulation with 4 contacts at a depth of 17mm, customized for patient.","electrode depth platinum 4 contact 2x17mm cust"
