"id","provider_id","service_id","procedure_id","procedure_name","cash_price","min_allowable","max_allowable","gross_charge","cpt_code","procedure_description_id"
482,1,2,4155623,"X-ray of the proximal (nearest to the body) extremity (limb) of the thoracic (chest) aorta.",252.43,266.56,908.73,1009.7,"75958",74
483,1,2,4155625,"X-ray guided transcatheter therapy",593.26,626.48,2135.73,2373.03,"75896",1313
497,1,2,4298034,"3D X-ray guided surgery",51.65,54.54,185.93,206.59,"77421",1582
531,1,2,4662071,"Unilateral Artery X-ray of the Arm/Leg",1524.39,1609.76,5487.8,6097.56,"75710",1173
532,1,2,4662072,"Bilateral Arteriogram of the Arms and Legs",1524.39,1609.76,5487.8,6097.56,"75716",1035
538,1,2,4662073,"Abdominal Arteriography",2608.16,2754.22,9389.38,10432.64,"75726",1583
539,1,2,4662074,"Pelvic Arteriography.",2460.53,2598.32,8857.91,9842.12,"75736",1612
547,1,2,4662075,"Unilateral Pulmonary Artery X-Ray.",610.11,644.27,2196.39,2440.43,"75741",1314
552,1,2,4662077,"coronary angiography.",1336.89,1411.76,4812.8,5347.56,"75756",1613
553,1,2,4662078,"Angiogram",439.02,463.6,1580.46,1756.07,"75774",1652
560,1,2,4662080,"Unilateral Venous X-ray of the Arm/Leg",374.61,395.58,1348.58,1498.42,"75820",1174
561,1,2,4662081,"Bilateral Venous Imaging of Arms and Legs",601.12,634.78,2164.02,2404.47,"75822",1066
562,1,2,4662082,"Venous Trunk Radiography",1438.1,1518.64,5177.17,5752.41,"75825",1570
563,1,2,4662083,"Chest SVC Vein X-Ray Imaging.",374.61,395.58,1348.58,1498.42,"75827",1446
569,1,2,4662085,"Neck Vein Radiography",320.9,338.87,1155.24,1283.6,"75860",1614
570,1,2,4662093,"X-ray guided endovascular descent thoracic aorta repair.",482.08,509.07,1735.48,1928.31,"75957",578
525,1,2,4662326,"Endovascular Thoracic Aorta Repair with X-ray Guidance.",283.14,299,1019.31,1132.57,"75956",608
134,1,3,1168730,"MRI scan of the abdomen with and without contrast.",1006.32,1062.67,3622.74,4025.27,"74183",759
138,1,3,1168732,"Abdominal MRI with Contrast.",810.93,856.34,2919.35,3243.72,"74182",1463
141,1,3,1168734,"Magnetic Resonance Imaging (MRI) scan of the abdomen without contrast.",703.89,743.31,2534,2815.56,"74181",271
146,1,3,1168738,"MRI of the Left Ankle with and without Contrast.",872.21,921.06,3139.97,3488.85,"73723",825
147,1,3,1168740,"Magnetic Resonance Imaging of Right Ankle with and without Contrast",872.21,921.06,3139.97,3488.85,"73723",323
150,1,3,1168744,"Left Ankle MRI with Contrast",716.39,756.5,2578.99,2865.54,"73722",1466
159,1,3,1168746,"MRI scan with contrast of the right ankle",768.27,811.29,2765.76,3073.07,"73722",1055
162,1,3,1168750,"MRI of the left ankle without contrast.",595.85,629.21,2145.05,2383.39,"73721",1122
117,1,3,1168752,"MRI of the right ankle without contrast.",595.85,629.21,2145.05,2383.39,"73721",1088
118,1,3,1168784,"Functional Magnetic Resonance Imaging (fMRI) of the Brain without Physician supervision",923.54,975.26,3324.74,3694.15,"70554",96
120,1,3,1168787,"Brain Function Analysis with MRI and Physician Consultation.",999.68,1055.66,3598.83,3998.7,"70555",465
122,1,3,1168796,"Brain scan with and without contrast agent (MRI)",993.95,1049.61,3578.23,3975.81,"70553",823
131,1,3,1168798,"MRI Brain with Contrast Scan",800.77,845.61,2882.76,3203.07,"70552",1462
135,1,3,1168800,"MRI of the brain without contrast.",686.2,724.63,2470.32,2744.8,"70551",1307
154,1,3,1168802,"Breast MRI with and without contrast on both sides.",1147.6,1211.86,4131.35,4590.39,"77049",726
152,1,3,1168802,"Breast MRI with and without contrast on both sides.",1147.6,1211.86,4131.35,4590.39,"77059",726
156,1,3,1168802,"Breast MRI with and without contrast on both sides.",1147.6,1211.86,4131.35,4590.39,"C8908",726
163,1,3,1168808,"Breast MRI with Contrast on Both Sides",724.08,764.63,2606.69,2896.32,"77059",1165
164,1,3,1168808,"Breast MRI with Contrast on Both Sides",724.08,764.63,2606.69,2896.32,"C8906",1165
126,1,3,1168814,"Bilateral Breast MRI without Contrast",729.19,770.02,2625.07,2916.74,"77047",1203
124,1,3,1168814,"Bilateral Breast MRI without Contrast",729.19,770.02,2625.07,2916.74,"77059",1203
128,1,3,1168814,"Bilateral Breast MRI without Contrast",729.19,770.02,2625.07,2916.74,"C8907",1203
130,1,3,1168820,"MRI scan of chest with and without contrast.",1039.85,1098.08,3743.44,4159.38,"71552",954
133,1,3,1168822,"Chest Scan with Contrast",677.27,715.19,2438.16,2709.07,"71551",1565
137,1,3,1168824,"MRI (Magnetic Resonance Imaging) of the Chest without Contrast.",718.61,758.85,2586.99,2874.43,"71550",400
140,1,3,1168836,"MRI of the Left Elbow with and without Contrast-Agent Injection.",925.13,976.93,3330.46,3700.51,"73223",379
143,1,3,1168838,"MRI with and without contrast of the right elbow",925.13,976.93,3330.46,3700.51,"73223",824
145,1,3,1168842,"Left Elbow MRI with Contrast",770.82,813.99,2774.95,3083.28,"73222",1465
149,1,3,1168844,"Right Elbow MRI with Contrast",770.82,813.99,2774.95,3083.28,"73222",1441
158,1,3,1168848,"MRI scan of left elbow without contrast.",636.78,672.44,2292.41,2547.12,"73221",1089
161,1,3,1168850,"MRI scan of the right elbow without contrast agent.",636.78,672.44,2292.41,2547.12,"73221",727
166,1,3,1168852,"Magnetic Resonance Imaging (MRI) of Face, Neck, and Orbit with and without Contrast.",1124.62,1187.59,4048.61,4498.46,"70543",111
119,1,3,1168854,"Advanced Imaging of Face, Neck, and Eye with Contrast",925.52,977.35,3331.87,3702.08,"70542",661
121,1,3,1168856,"MRI Scan of Face, Neck, and Orbit without Contrast.",746.95,788.77,2689,2987.78,"70540",725
129,1,3,1168878,"Magnetic Resonance Imaging (MRI) of the Left Foot with and without Contrast.",938.68,991.25,3379.26,3754.73,"73720",185
132,1,3,1168880,"Magnetic Resonance Imaging of Right Foot with and without Contrast.",938.68,991.25,3379.26,3754.73,"73720",322
136,1,3,1168884,"MRI Foot with Contrast on the Left Side",628.29,663.48,2261.85,2513.17,"73719",1120
139,1,3,1168886,"Right Foot MRI with Contrast",628.29,663.48,2261.85,2513.17,"73719",1464
142,1,3,1168890,"MRI scan of the left foot without using contrast solution.",642.16,678.12,2311.79,2568.65,"73718",515
144,1,3,1168892,"MRI of the right foot without contrast.",642.16,678.12,2311.79,2568.65,"73718",1121
148,1,3,1168918,"MRI of the left hand with and without contrast.",1031.27,1089.02,3712.55,4125.06,"73220",858
157,1,3,1168920,"Right Hand MRI with and without Contrast.",1031.27,1089.02,3712.55,4125.06,"73220",1054
160,1,3,1168924,"MRI of the left hand with a contrast agent.",710.18,749.95,2556.65,2840.72,"73219",995
165,1,3,1168926,"Magnetic Resonance Imaging (MRI) with contrast of right hand",723.08,763.57,2603.09,2892.32,"73219",466
116,1,3,1168930,"MRI of the left hand without contrast.",695.93,734.9,2505.36,2783.73,"73218",1164
169,1,3,1168932,"MRI of the right hand without contrast.",695.93,734.9,2505.36,2783.73,"73218",1123
173,1,3,1168936,"Magnetic Resonance Imaging of the Left Hip with and without Contrast",872.21,921.06,3139.97,3488.85,"73723",303
178,1,3,1168938,"MRI of the Right Hip with and without Contrast",872.21,921.06,3139.97,3488.85,"73723",888
181,1,3,1168942,"MRI of the left hip with contrast.",768.27,811.29,2765.76,3073.07,"73722",1308
185,1,3,1168944,"Right Hip Magnetic Resonance Imaging (MRI) with Contrast",768.27,811.29,2765.76,3073.07,"73722",574
188,1,3,1168948,"Magnetic Resonance Imaging of the Left Hip Without Contrast",595.85,629.21,2145.05,2383.39,"73721",483
192,1,3,1168950,"MRI of the right hip without contrast.",595.85,629.21,2145.05,2383.39,"73721",1166
199,1,3,1168972,"MRI of the Left Knee with and without Contrast",872.21,921.06,3139.97,3488.85,"73723",890
202,1,3,1168974,"Magnetic Resonance Imaging (MRI) of Right Knee with and without Contrast",872.21,921.06,3139.97,3488.85,"73723",235
205,1,3,1168978,"Advanced Imaging of the Left Knee using MRI with Contrast",768.27,811.29,2765.76,3073.07,"73722",539
