"id","name","hospital_owner","street_address","zip_code","state","city","gps_latitude","gps_longitude","website","star_ranking","hospital_description"
1,"Utah Valley Hospital",1,"1034 N 500 W",84604,"UT","Provo",40.2416657,-111.6594974,"https://intermountainhealthcare.org/locations/utah-valley-hospital/",4,"Utah Valley Hospital in Provo, Utah is the only designated Level II Trauma Center between the Salt Lake Valley and St. George. Situated in the heart of Utah County, our expert physicians, nurses, and care teams are specially trained to treat a wide range of patients, from those with the most severe injuries or illnesses to those undergoing a routine surgery or delivering a baby. Utah Valley is licensed for 395 beds. It houses a 46-bed emergency department and is home base for a Life Flight crew 24/7. The hospital is a designated Stroke Center of Excellence and maintains Utah County’s only medical hyperbaric chambers. More than 4,400 babies are born each year at the hospital, and our Newborn ICU physicians provide advanced neonatology care to struggling infants across central and southern Utah. We are accredited by the Joint Commission, complying with the highest national standards for safety and quality of care. We are also committed to improving the overall health of our local communities."
2,"Orem Community Hospital",1,"331 N 400 W St",84057,"UT","Orem",40.30166546,-111.7049972,NULL,NULL,"Orem Community Hospital is a leading-edge healthcare facility where patients find easy access to highly skilled and friendly caregivers. Orem Community excels in labor and delivery and is consistently rated in the top percentile nationwide for patient’s likelihood to recommend.  With the unique ability to labor, deliver and recover all in the same beautiful suite, supported by a highly experienced team, thousands of mothers have chosen Orem Community as their hospital of choice for childbirth. In addition to maternity care, this comprehensive community hospital offers emergency, surgical, laboratory and outpatient imaging services, including MRI and is the centralized location for pediatric and neuro rehabilitation for the region."
3,"Spanish Fork Hospital",1,"765 E Mkt Pl Dr",84660,"UT","Spanish Fork",40.11496,-111.65492,NULL,NULL,"Conveniently located just three blocks north of U.S. Highway 6, Spanish Fork Hospital can be accessed by all residents of south Utah County. The hospital provides a wide range of diagnostic and treatment options for patients who prefer a community hospital setting. If more advanced care becomes necessary, the Spanish Fork care team will make all necessary arrangements for transport."
4,"American Fork Hospital",1,"170 N 1100 E",84003,"UT","American Fork",40.3796,-111.7669,NULL,4,"American Fork Hospital is a nationally recognized community hospital with a commitment to meeting the healthcare needs of the rapidly growing population in North Utah County. We offer state-of-the art technology, 90 beds, and a medical staff of more than 300 doctors representing 30 specialties. We are committed to offering a wide range of quality inpatient and outpatient services, including a fully equipped emergency department. With our highly experienced team of women’s and newborn caregivers, American Fork Hospital has become a top choice for maternity services. Our Level II newborn intensive care unit (NICU) is expanding and we’ve added an on-site lactation clinic to support our smallest patients."
5,"Riverton Hospital",1,"3741 W 12600 S",84065,"UT","Riverton",40.5205,-111.9805,NULL,4,"Riverton Hospital was the first hospital in Utah to house a special pediatric unit operated by Primary Children’s Hospital. Your child can receive the world-class care Primary Children’s is known for, closer to home, which will reduce travel time for you while your child is in the hospital and help you spend more time at your child’s bedside. Children will need to travel to Primary Children’s Hospital to receive care for more complex cases, but many conditions can be cared for here.  We provide state-of-the art-cancer care and treatments close to home. If you have cancer, you may need frequent, regular treatments. Patients can receive chemotherapy, radiation therapy, and infusion/IV services significantly reducing commuting and treatment time during a period when you may have decreased energy and stamina. Riverton Hospital has received a Level IV trauma center designation from the Utah Bureau of Emergency Medical Services. Earning a Level IV trauma center designation certifies Riverton Hospital can provide advanced trauma life support to evaluate and stabilize patients before transferring them to a higher-level trauma center, if needed. Level IV trauma centers must also meet strict criteria and be equipped to provide advanced trauma life support at all times."
6,"Heber Valley Hospital",1,"454 East Medical Way",84032,"UT","Heber City",40.490279,-111.406677,NULL,NULL,"Heber Valley Hospital is a full-service community hospital dedicated to providing high-quality medical services to Wasatch County residents. Our services include emergency care, women and newborn services, orthopedic and general surgery, heart care, and cancer care. In 2020 we completed a five-year renovation project that enhanced access, privacy and improved the overall hospital experience."
7,"Alta View Hospital",1,"9660 South 1300 East",84094,"UT","Sandy",45.721867,-122.648132,NULL,5,"Alta View Hospital is committed to creating a healing environment in every way we can – through our talented caregivers, personalized medical care, and services offered, including Women’s Health Services, Labor and Delivery, Emergency Service & Trauma Care, Imaging, Lab, Acute and Intensive Care, Surgical Services, Physical Therapy, and other services like our sleep lab, heart care, and infusion services."
8,"The Orthopedic Specialty Hospital",1,"5848 South 300 East",84107,"UT","Murray",40.64427,-111.88513,NULL,NULL,"The Orthopedic Specialty Hospital in Murray, Utah, is Intermountain Healthcare’s home for comprehensive orthopedic healthcare and sports medicine excellence. Since 1991, our experienced and skilled physicians, APPs, and caregivers have served patients and athletes throughout Utah with a wide range of orthopedic specialties and services—all at one campus. A 40-bed specialty hospital, TOSH focuses on preventative care and offers efficient procedures and treatments for joints, back and neck, spine, and extremities with excellent outcomes and low costs. Our teams also offer services for care for arthritis, hearing, and balance. TOSH features Intermountain Sports Medicine and Sports Performance services. Along with treating sports-related injuries, we help athletes prevent sports-related injuries, identify and improve areas of weakness, create custom training and nutrition plans, and elevate all levels of athleticism."
9,"Intermountain Medical Center",1,"5121 South Cottonwood Street",84107,"UT","Murray",40.6562,-111.8877,NULL,5,"Typical high-end hospitals across the country were designed as “big boxes,” packed with technology and resources.Intermountain Medical Center contains five interconnected centers of excellence, including women’s/newborn care, heart/lung care, emergency/trauma care, outpatient care, and cancer care. At the center of all we do at the Medical Center is our intense focus on the patient. From the different advanced services provided, to the layout of our campus, and our use of the latest technologies, it’s all designed to create the best care and healing environment around. In short, it’s our goal to provide the absolute best patient experience."
10,"Park City Hospital",1,"900 Round Valley Drive",84060,"UT","Park City",40.6877,-111.4694,NULL,5,"Park City Hospital (formerly Park City Medical Center) is a full-service community hospital dedicated to serving the medical needs of the community with access to the most advanced medical knowledge and capabilities available."
